日付,社員ID,社員名,ステータス
2024/01/01,E001,山田太郎,出勤
2024/01/01,E002,佐藤花子,出勤
2024/01/01,E003,鈴木一郎,出勤
2024/01/02,E001,山田太郎,出勤
2024/01/02,E002,佐藤花子,欠勤
2024/01/02,E003,鈴木一郎,出勤
2024/01/03,E001,山田太郎,出勤
2024/01/03,E002,佐藤花子,出勤
2024/01/03,E003,鈴木一郎,欠勤
2024/01/04,E001,山田太郎,出勤
2024/01/04,E002,佐藤花子,出勤
2024/01/04,E003,鈴木一郎,出勤
2024/01/05,E001,山田太郎,出勤
2024/01/05,E002,佐藤花子,欠勤
2024/01/05,E003,鈴木一郎,出勤
2024/01/06,E001,山田太郎,出勤
2024/01/06,E002,佐藤花子,出勤
2024/01/06,E003,鈴木一郎,出勤
2024/01/07,E001,山田太郎,欠勤
2024/01/07,E002,佐藤花子,出勤
2024/01/07,E003,鈴木一郎,出勤
2024/01/08,E001,山田太郎,出勤
2024/01/08,E002,佐藤花子,出勤
2024/01/08,E003,鈴木一郎,欠勤
2024/01/09,E001,山田太郎,出勤
2024/01/09,E002,佐藤花子,欠勤
2024/01/09,E003,鈴木一郎,出勤
2024/01/10,E001,山田太郎,出勤
2024/01/10,E002,佐藤花子,出勤
2024/01/10,E003,鈴木一郎,出勤
2024/01/11,E001,山田太郎,出勤
2024/01/11,E002,佐藤花子,出勤
2024/01/11,E003,鈴木一郎,出勤
2024/01/12,E001,山田太郎,出勤
2024/01/12,E002,佐藤花子,出勤
2024/01/12,E003,鈴木一郎,欠勤
2024/01/13,E001,山田太郎,出勤
2024/01/13,E002,佐藤花子,欠勤
2024/01/13,E003,鈴木一郎,出勤
2024/01/14,E001,山田太郎,出勤
2024/01/14,E002,佐藤花子,出勤
2024/01/14,E003,鈴木一郎,出勤
2024/01/15,E001,山田太郎,出勤
2024/01/15,E002,佐藤花子,出勤
2024/01/15,E003,鈴木一郎,出勤
2024/01/16,E001,山田太郎,出勤
2024/01/16,E002,佐藤花子,出勤
2024/01/16,E003,鈴木一郎,欠勤
2024/01/17,E001,山田太郎,欠勤
2024/01/17,E002,佐藤花子,出勤
2024/01/17,E003,鈴木一郎,出勤
2024/01/18,E001,山田太郎,出勤
2024/01/18,E002,佐藤花子,出勤
2024/01/18,E003,鈴木一郎,出勤
2024/01/19,E001,山田太郎,出勤
2024/01/19,E002,佐藤花子,出勤
2024/01/19,E003,鈴木一郎,出勤
2024/01/20,E001,山田太郎,出勤
2024/01/20,E002,佐藤花子,出勤
2024/01/20,E003,鈴木一郎,欠勤
2024/01/21,E001,山田太郎,出勤
2024/01/21,E002,佐藤花子,出勤
2024/01/21,E003,鈴木一郎,出勤
2024/01/22,E001,山田太郎,出勤
2024/01/22,E002,佐藤花子,出勤
2024/01/22,E003,鈴木一郎,出勤
