購入日,顧客ID,顧客名,購入金額
2024/01/30,C001,山田太郎,15000
2024/01/29,C002,佐藤花子,8000
2024/01/28,C001,山田太郎,12000
2024/01/27,C003,鈴木一郎,25000
2024/01/26,C004,田中美咲,18000
2024/01/25,C001,山田太郎,20000
2024/01/24,C005,高橋健,9000
2024/01/23,C002,佐藤花子,15000
2024/01/22,C006,伊藤真理,32000
2024/01/21,C001,山田太郎,18000
2024/01/20,C003,鈴木一郎,22000
2024/01/19,C007,渡辺誠,11000
2024/01/18,C001,山田太郎,25000
2024/01/17,C004,田中美咲,16000
2024/01/16,C008,小林優子,28000
2024/01/15,C002,佐藤花子,19000
2024/01/14,C006,伊藤真理,24000
2024/01/13,C009,加藤大輔,13000
2024/01/12,C003,鈴木一郎,17000
2024/01/11,C010,山本聡,21000
2024/01/10,C001,山田太郎,15000
2024/01/09,C004,田中美咲,12000
2024/01/08,C011,中村愛,26000
2024/01/07,C005,高橋健,14000
2024/01/06,C006,伊藤真理,19000
2024/01/05,C012,吉田和也,23000
2024/01/04,C002,佐藤花子,16000
2024/01/03,C013,松本千鶴,10000
2024/01/02,C003,鈴木一郎,18000
2024/01/01,C014,井上雄太,22000
2023/12/28,C015,木村由美,15000
2023/12/25,C016,林達也,18000
2023/12/20,C017,清水香織,12000
2023/12/15,C018,前田隆,20000
2023/12/10,C019,岡田麻衣,16000
2023/12/05,C020,藤田浩二,14000
